Month,Hour,Day Type,Equipment Electric Power,Solar generation,Electricity Pricing,kg_CO2
7,24,7,2.2758,0,0.22,0.170724413
8,1,1,0.851166667,0,0.22,0.157319058
8,2,1,0.8346,0,0.22,0.15450256
8,3,1,0.838166667,0,0.22,0.150944878
8,4,1,1.478433333,0,0.22,0.151819864
8,5,1,1.2562,0,0.22,0.158088218
8,6,1,1.869516667,0.072520833,0.22,0.161939362
8,7,1,0.808816667,0.557604167,0.22,0.164345969
8,8,1,0.615966667,1.382354167,0.22,0.190998153
8,9,1,0.627233333,2.265125,0.22,0.202898866
8,10,1,0.618066667,3.0348125,0.22,0.212871689
8,11,1,0.645133333,3.56375,0.22,0.225709915
8,12,1,0.764433333,3.799125,0.22,0.234607893
8,13,1,1.4323,3.7563125,0.22,0.242860698
8,14,1,1.901833333,3.448375,0.22,0.242239252
8,15,1,1.729983333,2.906375,0.22,0.242680302
8,16,1,1.391433333,2.112125,0.54,0.24524967
8,17,1,1.0301,1.213,0.54,0.246146942
8,18,1,1.383816667,0.411208333,0.54,0.242759399
8,19,1,1.031916667,0.031166667,0.54,0.241509474
8,20,1,3.603983333,0,0.54,0.243589092
8,21,1,5.0085,0,0.22,0.240739192
8,22,1,3.896216667,0,0.22,0.22927038
8,23,1,3.557083333,0,0.22,0.215294727
8,24,1,1.411333333,0,0.22,0.191578861
8,1,2,0.979416667,0,0.22,0.172713612
8,2,2,0.900975,0,0.22,0.16681729
8,3,2,0.922433333,0,0.22,0.16352854
8,4,2,0.910483333,0,0.22,0.162531227
8,5,2,1.0103,0,0.22,0.16735874
8,6,2,1.297683333,0.070479167,0.22,0.170761497
8,7,2,1.192266667,0.548104167,0.22,0.183889502
8,8,2,1.223466667,1.347125,0.22,0.197804926
8,9,2,1.082683333,2.234458334,0.22,0.210828767
8,10,2,0.667666667,2.970166667,0.22,0.223376245
8,11,2,0.6661,3.4915625,0.22,0.239308678
8,12,2,0.645683333,3.755166667,0.22,0.244769168
8,13,2,1.164616667,3.692916667,0.22,0.243567636
8,14,2,1.443583333,3.405833334,0.22,0.243300835
8,15,2,0.86195,2.856145834,0.22,0.249160682
8,16,2,0.76175,2.097604167,0.54,0.250862788
